timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/21 01:57:09.551, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:10.552, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:11.552, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:12.552, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:13.552, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:14.552, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:15.552, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:16.553, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:17.553, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:18.553, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:19.553, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:20.553, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:21.554, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:22.554, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:23.554, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:24.554, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:25.554, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:26.554, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:27.555, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:28.555, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:29.555, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:30.555, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:31.555, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:32.555, 0, 0 %, 0 %, 1 MiB, 46068 MiB
